sex,bin_lo_min,bin_hi_min,bin_mid_min,n,density_per_min
F,409.0,409.5,409.25,217,434.0
F,409.5,410.0,409.75,222,444.0
F,410.0,410.5,410.25,222,444.0
F,410.5,411.0,410.75,201,402.0
F,411.0,411.5,411.25,188,376.0
F,411.5,412.0,411.75,214,428.0
F,412.0,412.5,412.25,196,392.0
F,412.5,413.0,412.75,174,348.0
F,413.0,413.5,413.25,203,406.0
F,413.5,414.0,413.75,181,362.0
F,414.0,414.5,414.25,183,366.0
F,414.5,415.0,414.75,175,350.0
F,415.0,415.5,415.25,163,326.0
F,415.5,416.0,415.75,171,342.0
F,416.0,416.5,416.25,173,346.0
F,416.5,417.0,416.75,169,338.0
F,417.0,417.5,417.25,170,340.0
F,417.5,418.0,417.75,161,322.0
F,418.0,418.5,418.25,165,330.0
F,418.5,419.0,418.75,163,326.0
F,419.0,419.5,419.25,200,400.0
F,419.5,420.0,419.75,173,346.0
M,120.0,120.5,120.25,2,4.0
M,120.5,121.0,120.75,1,2.0
M,121.0,121.5,121.25,2,4.0
M,121.5,122.0,121.75,5,10.0
M,122.0,122.5,122.25,4,8.0
M,122.5,123.0,122.75,10,20.0
M,123.0,123.5,123.25,10,20.0
M,123.5,124.0,123.75,24,48.0
M,124.0,124.5,124.25,26,52.0
M,124.5,125.0,124.75,43,86.0
M,125.0,125.5,125.25,56,112.0
M,125.5,126.0,125.75,68,136.0
M,126.0,126.5,126.25,80,160.0
M,126.5,127.0,126.75,69,138.0
M,127.0,127.5,127.25,78,156.0
M,127.5,128.0,127.75,87,174.0
M,128.0,128.5,128.25,75,150.0
M,128.5,129.0,128.75,83,166.0
M,129.0,129.5,129.25,87,174.0
M,129.5,130.0,129.75,92,184.0
M,130.0,130.5,130.25,93,186.0
M,130.5,131.0,130.75,109,218.0
M,131.0,131.5,131.25,85,170.0
M,131.5,132.0,131.75,81,162.0
M,132.0,132.5,132.25,76,152.0
M,132.5,133.0,132.75,86,172.0
M,133.0,133.5,133.25,83,166.0
M,133.5,134.0,133.75,79,158.0
M,134.0,134.5,134.25,86,172.0
M,134.5,135.0,134.75,112,224.0
M,135.0,135.5,135.25,89,178.0
M,135.5,136.0,135.75,115,230.0
M,136.0,136.5,136.25,97,194.0
M,136.5,137.0,136.75,101,202.0
M,137.0,137.5,137.25,112,224.0
M,137.5,138.0,137.75,115,230.0
M,138.0,138.5,138.25,86,172.0
M,138.5,139.0,138.75,127,254.0
M,139.0,139.5,139.25,139,278.0
M,139.5,140.0,139.75,129,258.0
M,140.0,140.5,140.25,137,274.0
M,140.5,141.0,140.75,145,290.0
M,141.0,141.5,141.25,127,254.0
M,141.5,142.0,141.75,163,326.0
M,142.0,142.5,142.25,158,316.0
