bin_lo_min,bin_hi_min,bin_mid_min,n,n_F,n_M,n_U,density_per_min
241.5,242.0,241.75,9045,2725,6320,0,18090.0
242.0,242.5,242.25,8869,2687,6182,0,17738.0
242.5,243.0,242.75,8878,2771,6107,0,17756.0
243.0,243.5,243.25,8681,2740,5941,0,17362.0
243.5,244.0,243.75,8793,2751,6042,0,17586.0
244.0,244.5,244.25,8880,2853,6027,0,17760.0
244.5,245.0,244.75,8856,2668,6188,0,17712.0
245.0,245.5,245.25,8833,2779,6054,0,17666.0
245.5,246.0,245.75,8802,2730,6072,0,17604.0
246.0,246.5,246.25,9059,2843,6216,0,18118.0
246.5,247.0,246.75,9154,2847,6307,0,18308.0
247.0,247.5,247.25,9088,2863,6225,0,18176.0
247.5,248.0,247.75,9163,2857,6306,0,18326.0
248.0,248.5,248.25,9131,2796,6335,0,18262.0
248.5,249.0,248.75,9450,2988,6462,0,18900.0
249.0,249.5,249.25,9532,2972,6560,0,19064.0
249.5,250.0,249.75,9460,2907,6553,0,18920.0
250.0,250.5,250.25,9003,2847,6156,0,18006.0
250.5,251.0,250.75,9433,3017,6416,0,18866.0
251.0,251.5,251.25,9097,2912,6185,0,18194.0
251.5,252.0,251.75,9210,2871,6339,0,18420.0
252.0,252.5,252.25,9411,2950,6461,0,18822.0
252.5,253.0,252.75,9290,3022,6268,0,18580.0
253.0,253.5,253.25,9446,3013,6433,0,18892.0
253.5,254.0,253.75,9602,3056,6546,0,19204.0
254.0,254.5,254.25,9757,3173,6584,0,19514.0
254.5,255.0,254.75,9720,3208,6512,0,19440.0
255.0,255.5,255.25,8915,2975,5940,0,17830.0
255.5,256.0,255.75,9032,3017,6015,0,18064.0
256.0,256.5,256.25,9064,3051,6013,0,18128.0
256.5,257.0,256.75,9085,3069,6016,0,18170.0
257.0,257.5,257.25,9042,3070,5972,0,18084.0
257.5,258.0,257.75,9064,3090,5974,0,18128.0
258.0,258.5,258.25,9023,3018,6005,0,18046.0
258.5,259.0,258.75,9031,2984,6047,0,18062.0
259.0,259.5,259.25,9170,3115,6055,0,18340.0
259.5,260.0,259.75,9185,3173,6012,0,18370.0
260.0,260.5,260.25,8672,3041,5631,0,17344.0
260.5,261.0,260.75,8629,2999,5630,0,17258.0
261.0,261.5,261.25,8701,3022,5679,0,17402.0
261.5,262.0,261.75,8718,3040,5678,0,17436.0
262.0,262.5,262.25,8473,3038,5435,0,16946.0
262.5,263.0,262.75,8468,3012,5456,0,16936.0
263.0,263.5,263.25,8525,3068,5457,0,17050.0
263.5,264.0,263.75,8834,3131,5703,0,17668.0
264.0,264.5,264.25,8878,3224,5654,0,17756.0
264.5,265.0,264.75,8706,3092,5614,0,17412.0
265.0,265.5,265.25,8607,3110,5497,0,17214.0
265.5,266.0,265.75,8799,3087,5712,0,17598.0
266.0,266.5,266.25,8746,3126,5620,0,17492.0
266.5,267.0,266.75,8967,3262,5705,0,17934.0
267.0,267.5,267.25,8913,3290,5623,0,17826.0
267.5,268.0,267.75,8789,3293,5496,0,17578.0
268.0,268.5,268.25,8806,3327,5479,0,17612.0
268.5,269.0,268.75,9103,3434,5669,0,18206.0
269.0,269.5,269.25,8966,3379,5587,0,17932.0
269.5,270.0,269.75,8844,3307,5537,0,17688.0
270.0,270.5,270.25,7891,3043,4848,0,15782.0
270.5,271.0,270.75,7804,3064,4740,0,15608.0
271.0,271.5,271.25,7743,2986,4757,0,15486.0
271.5,272.0,271.75,7612,2928,4684,0,15224.0
272.0,272.5,272.25,7469,2864,4605,0,14938.0
272.5,273.0,272.75,7374,2886,4488,0,14748.0
273.0,273.5,273.25,7427,2885,4542,0,14854.0
273.5,274.0,273.75,7582,2949,4633,0,15164.0
274.0,274.5,274.25,7442,2877,4565,0,14884.0
274.5,275.0,274.75,7500,2925,4575,0,15000.0
275.0,275.5,275.25,7251,2827,4424,0,14502.0
275.5,276.0,275.75,7271,2878,4393,0,14542.0
276.0,276.5,276.25,7446,2975,4471,0,14892.0
276.5,277.0,276.75,7478,2958,4520,0,14956.0
277.0,277.5,277.25,7019,2754,4265,0,14038.0
277.5,278.0,277.75,7151,2707,4444,0,14302.0
278.0,278.5,278.25,7149,2829,4320,0,14298.0
278.5,279.0,278.75,7376,2923,4453,0,14752.0
279.0,279.5,279.25,7313,2868,4445,0,14626.0
279.5,280.0,279.75,7330,2872,4458,0,14660.0
280.0,280.5,280.25,6782,2691,4091,0,13564.0
280.5,281.0,280.75,6910,2769,4141,0,13820.0
281.0,281.5,281.25,6797,2662,4135,0,13594.0
281.5,282.0,281.75,6755,2715,4040,0,13510.0
282.0,282.5,282.25,6919,2751,4168,0,13838.0
282.5,283.0,282.75,6899,2758,4141,0,13798.0
283.0,283.5,283.25,6848,2797,4051,0,13696.0
283.5,284.0,283.75,6805,2741,4064,0,13610.0
284.0,284.5,284.25,6983,2721,4262,0,13966.0
284.5,285.0,284.75,6824,2715,4109,0,13648.0
285.0,285.5,285.25,6534,2671,3863,0,13068.0
285.5,286.0,285.75,6427,2644,3783,0,12854.0
286.0,286.5,286.25,6366,2590,3776,0,12732.0
286.5,287.0,286.75,6293,2562,3731,0,12586.0
287.0,287.5,287.25,6476,2671,3805,0,12952.0
287.5,288.0,287.75,6250,2713,3537,0,12500.0
288.0,288.5,288.25,6212,2550,3662,0,12424.0
288.5,289.0,288.75,6338,2595,3743,0,12676.0
289.0,289.5,289.25,6345,2659,3686,0,12690.0
289.5,290.0,289.75,6146,2527,3619,0,12292.0
290.0,290.5,290.25,6192,2584,3608,0,12384.0
290.5,291.0,290.75,6209,2473,3736,0,12418.0
291.0,291.5,291.25,5977,2432,3545,0,11954.0
291.5,292.0,291.75,6097,2523,3574,0,12194.0
292.0,292.5,292.25,6134,2588,3546,0,12268.0
292.5,293.0,292.75,6051,2491,3560,0,12102.0
293.0,293.5,293.25,6252,2661,3591,0,12504.0
293.5,294.0,293.75,6046,2502,3544,0,12092.0
294.0,294.5,294.25,5977,2487,3490,0,11954.0
294.5,295.0,294.75,6204,2555,3649,0,12408.0
295.0,295.5,295.25,6258,2585,3673,0,12516.0
295.5,296.0,295.75,6249,2674,3575,0,12498.0
296.0,296.5,296.25,6190,2521,3669,0,12380.0
296.5,297.0,296.75,6264,2540,3724,0,12528.0
297.0,297.5,297.25,6027,2462,3565,0,12054.0
297.5,298.0,297.75,6036,2598,3438,0,12072.0
298.0,298.5,298.25,6137,2623,3514,0,12274.0
298.5,299.0,298.75,5876,2544,3332,0,11752.0
299.0,299.5,299.25,5889,2541,3348,0,11778.0
299.5,300.0,299.75,5492,2390,3102,0,10984.0
300.0,300.5,300.25,4935,2273,2662,0,9870.0
300.5,301.0,300.75,4933,2202,2731,0,9866.0
301.0,301.5,301.25,4583,2059,2524,0,9166.0
301.5,302.0,301.75,4784,2205,2579,0,9568.0
302.0,302.5,302.25,4524,2049,2475,0,9048.0
302.5,303.0,302.75,4487,2001,2486,0,8974.0
303.0,303.5,303.25,4324,1929,2395,0,8648.0
303.5,304.0,303.75,4370,2036,2334,0,8740.0
304.0,304.5,304.25,4419,1943,2476,0,8838.0
304.5,305.0,304.75,4359,1923,2436,0,8718.0
305.0,305.5,305.25,4242,1915,2327,0,8484.0
305.5,306.0,305.75,4385,1989,2396,0,8770.0
306.0,306.5,306.25,4188,1878,2310,0,8376.0
306.5,307.0,306.75,4229,1881,2348,0,8458.0
307.0,307.5,307.25,4116,1854,2262,0,8232.0
307.5,308.0,307.75,4120,1863,2257,0,8240.0
308.0,308.5,308.25,4333,1953,2380,0,8666.0
308.5,309.0,308.75,4128,1908,2220,0,8256.0
309.0,309.5,309.25,4084,1879,2205,0,8168.0
309.5,310.0,309.75,4208,1942,2266,0,8416.0
310.0,310.5,310.25,4066,1864,2202,0,8132.0
310.5,311.0,310.75,3857,1785,2072,0,7714.0
311.0,311.5,311.25,4086,1843,2243,0,8172.0
311.5,312.0,311.75,3933,1804,2129,0,7866.0
312.0,312.5,312.25,3913,1829,2084,0,7826.0
312.5,313.0,312.75,4020,1881,2139,0,8040.0
313.0,313.5,313.25,3826,1745,2081,0,7652.0
313.5,314.0,313.75,3796,1708,2088,0,7592.0
314.0,314.5,314.25,3902,1794,2108,0,7804.0
314.5,315.0,314.75,3771,1738,2033,0,7542.0
315.0,315.5,315.25,3676,1705,1971,0,7352.0
315.5,316.0,315.75,3619,1679,1940,0,7238.0
316.0,316.5,316.25,3722,1695,2027,0,7444.0
316.5,317.0,316.75,3580,1684,1896,0,7160.0
317.0,317.5,317.25,3625,1681,1944,0,7250.0
317.5,318.0,317.75,3639,1671,1968,0,7278.0
318.0,318.5,318.25,3610,1671,1939,0,7220.0
318.5,319.0,318.75,3509,1633,1876,0,7018.0
319.0,319.5,319.25,3482,1644,1838,0,6964.0
319.5,320.0,319.75,3447,1623,1824,0,6894.0
320.0,320.5,320.25,3379,1589,1790,0,6758.0
320.5,321.0,320.75,3502,1622,1880,0,7004.0
321.0,321.5,321.25,3364,1591,1773,0,6728.0
321.5,322.0,321.75,3396,1602,1794,0,6792.0
322.0,322.5,322.25,3316,1531,1785,0,6632.0
322.5,323.0,322.75,3367,1634,1733,0,6734.0
323.0,323.5,323.25,3391,1570,1821,0,6782.0
323.5,324.0,323.75,3385,1652,1733,0,6770.0
324.0,324.5,324.25,3242,1573,1669,0,6484.0
324.5,325.0,324.75,3187,1484,1703,0,6374.0
325.0,325.5,325.25,3246,1558,1688,0,6492.0
325.5,326.0,325.75,3168,1505,1663,0,6336.0
326.0,326.5,326.25,3100,1473,1627,0,6200.0
326.5,327.0,326.75,3170,1494,1676,0,6340.0
327.0,327.5,327.25,3091,1490,1601,0,6182.0
327.5,328.0,327.75,3129,1544,1585,0,6258.0
328.0,328.5,328.25,3092,1543,1549,0,6184.0
328.5,329.0,328.75,3144,1536,1608,0,6288.0
329.0,329.5,329.25,3141,1529,1612,0,6282.0
329.5,330.0,329.75,3046,1438,1608,0,6092.0
330.0,330.5,330.25,2901,1453,1448,0,5802.0
330.5,331.0,330.75,2786,1385,1401,0,5572.0
331.0,331.5,331.25,2810,1343,1467,0,5620.0
331.5,332.0,331.75,2753,1382,1371,0,5506.0
332.0,332.5,332.25,2621,1289,1332,0,5242.0
332.5,333.0,332.75,2713,1325,1388,0,5426.0
333.0,333.5,333.25,2628,1273,1355,0,5256.0
333.5,334.0,333.75,2633,1283,1350,0,5266.0
334.0,334.5,334.25,2629,1287,1342,0,5258.0
334.5,335.0,334.75,2591,1292,1299,0,5182.0
335.0,335.5,335.25,2600,1310,1290,0,5200.0
335.5,336.0,335.75,2653,1324,1329,0,5306.0
336.0,336.5,336.25,2635,1322,1313,0,5270.0
336.5,337.0,336.75,2459,1223,1236,0,4918.0
337.0,337.5,337.25,2519,1273,1246,0,5038.0
337.5,338.0,337.75,2364,1226,1138,0,4728.0
338.0,338.5,338.25,2403,1216,1187,0,4806.0
338.5,339.0,338.75,2427,1272,1155,0,4854.0
339.0,339.5,339.25,2348,1224,1124,0,4696.0
339.5,340.0,339.75,2349,1208,1141,0,4698.0
340.0,340.5,340.25,2317,1222,1095,0,4634.0
340.5,341.0,340.75,2245,1178,1067,0,4490.0
341.0,341.5,341.25,2189,1144,1045,0,4378.0
341.5,342.0,341.75,2251,1156,1095,0,4502.0
342.0,342.5,342.25,2295,1170,1125,0,4590.0
342.5,343.0,342.75,2345,1291,1054,0,4690.0
343.0,343.5,343.25,2145,1164,981,0,4290.0
343.5,344.0,343.75,2240,1128,1112,0,4480.0
344.0,344.5,344.25,2271,1131,1140,0,4542.0
344.5,345.0,344.75,2145,1094,1051,0,4290.0
345.0,345.5,345.25,2141,1138,1003,0,4282.0
345.5,346.0,345.75,2008,1039,969,0,4016.0
346.0,346.5,346.25,2025,1078,947,0,4050.0
346.5,347.0,346.75,2070,1081,989,0,4140.0
347.0,347.5,347.25,2033,1061,972,0,4066.0
347.5,348.0,347.75,2035,1091,944,0,4070.0
348.0,348.5,348.25,1958,1028,930,0,3916.0
348.5,349.0,348.75,1954,1033,921,0,3908.0
349.0,349.5,349.25,1972,1026,946,0,3944.0
349.5,350.0,349.75,1968,1011,957,0,3936.0
350.0,350.5,350.25,1955,1009,946,0,3910.0
350.5,351.0,350.75,1878,973,905,0,3756.0
351.0,351.5,351.25,1933,1012,921,0,3866.0
351.5,352.0,351.75,1911,983,928,0,3822.0
352.0,352.5,352.25,1911,978,933,0,3822.0
