city,outcome,label,value,n_value
Paris,Within 2%,25,-2.099060354174198,125
Prague,More than 2% faster,25,-3.9173974451180706,344
Prague,More than 2% slower,25,-4.741548879100654,639
Prague,Within 2%,25,-3.514836387434561,201
Rotterdam,More than 2% faster,25,-1.005976191021235,9242
Rotterdam,More than 2% slower,25,-1.9899879855826974,10573
Rotterdam,Within 2%,25,-1.252001858592111,6919
Sydney,More than 2% faster,25,-2.686529624862705,408
Sydney,More than 2% slower,25,-3.2895116837458103,340
Sydney,Within 2%,25,-2.541582956920374,195
Valencia,More than 2% faster,25,-0.800691537294751,4024
Valencia,More than 2% slower,25,-2.5254211641279056,3655
Valencia,Within 2%,25,-0.9984626599061797,2956
Warsaw,More than 2% faster,25,-2.047832575808972,2061
Warsaw,More than 2% slower,25,-3.1631515345562358,1818
Warsaw,Within 2%,25,-2.335941320293411,1123
Washington,More than 2% faster,25,-2.379574024620601,13903
Washington,More than 2% slower,25,-2.362379241143703,19978
Washington,Within 2%,25,-2.2215523017701244,7928
Amsterdam,More than 2% faster,30,-0.3562925139013573,5448
Amsterdam,More than 2% slower,30,0.9638030852938906,5400
Amsterdam,Within 2%,30,-0.030597514696040218,3297
Auckland,More than 2% slower,30,2.9487370466101837,106
Austin,More than 2% faster,30,0.02128914478303212,501
Austin,More than 2% slower,30,2.9121769235360917,313
Austin,Within 2%,30,0.39430444581027846,223
Berlin,More than 2% faster,30,0.8501650412603201,41593
Berlin,More than 2% slower,30,2.6510118879139677,46317
Berlin,Within 2%,30,1.2251620862967272,26502
Boston,More than 2% faster,30,1.926406601650421,7021
Boston,More than 2% slower,30,3.8212791321452055,10069
Boston,Within 2%,30,2.1749738965757492,5582
Chicago,More than 2% faster,30,0.25128722867238107,4395
Chicago,More than 2% slower,30,2.6541099418647462,4359
Chicago,Within 2%,30,0.5060989274852101,2311
Copenhagen,More than 2% faster,30,0.006662488787090304,8078
Copenhagen,More than 2% slower,30,1.2086952493129521,7674
Copenhagen,Within 2%,30,0.28859300476946625,4065
Eindhoven,More than 2% faster,30,-0.1625073572689817,1501
Eindhoven,More than 2% slower,30,0.885002578648808,1299
Eindhoven,Within 2%,30,0.03174248578392547,1005
Gold Coast,More than 2% faster,30,-0.39736526293602803,1644
Gold Coast,More than 2% slower,30,1.6527414517096606,1567
Gold Coast,Within 2%,30,0.1585514303104052,909
Helsinki,More than 2% faster,30,-0.06084612871610773,367
Helsinki,More than 2% slower,30,2.9919849679645116,839
Helsinki,Within 2%,30,0.6430716330426356,350
London,More than 2% faster,30,0.8882548379575583,11447
London,More than 2% slower,30,3.1199319369311973,13720
London,Within 2%,30,1.050095062560219,6896
Madrid,More than 2% faster,30,2.097542533081298,1447
Madrid,More than 2% slower,30,3.976811695780025,2978
Madrid,Within 2%,30,2.375998201438856,1329
New York,More than 2% faster,30,-0.3312157076008071,21390
New York,More than 2% slower,30,2.0052340906238086,22741
New York,Within 2%,30,0.08052036640031623,10595
Oslo,More than 2% faster,30,-0.15424440298508202,475
Oslo,More than 2% slower,30,1.057959306057843,510
Oslo,Within 2%,30,0.1656241740092046,322
