scope,segment,seg_from_km,mid_km,dist_km,n_pace,n_live_gap_pace,mean_pace,mean_live_gap_pace,mean_pace_minus_live_gap,mean_live_gap_over_pace,gap_source
Amsterdam,30,25.0,27.5,5.0,152914,152914,5.800799,5.458243,0.342556,0.940947,live_v2_curve_x_course_segments
Amsterdam,35,30.0,32.5,5.0,152914,152914,6.162735,5.714368,0.448367,0.927245,live_v2_curve_x_course_segments
Amsterdam,40,35.0,37.5,5.0,152914,152914,6.240848,5.725222,0.515627,0.917379,live_v2_curve_x_course_segments
Amsterdam,42,40.0,41.0975,2.195,152914,152914,6.116775,5.55491,0.561865,0.908144,live_v2_curve_x_course_segments
Rotterdam,05,0.0,2.5,5.0,139977,139977,5.424507,5.538161,-0.113655,1.020952,live_v2_curve_x_course_segments
Rotterdam,10,5.0,7.5,5.0,139977,139977,5.38076,5.419708,-0.038948,1.007238,live_v2_curve_x_course_segments
Rotterdam,15,10.0,12.5,5.0,139977,139977,5.43981,5.388808,0.051003,0.990624,live_v2_curve_x_course_segments
Rotterdam,20,15.0,17.5,5.0,139977,139977,5.504568,5.389347,0.115221,0.979068,live_v2_curve_x_course_segments
Rotterdam,25,20.0,22.5,5.0,139977,139977,5.688776,5.410277,0.278499,0.951044,live_v2_curve_x_course_segments
Rotterdam,30,25.0,27.5,5.0,139977,139977,5.862243,5.517698,0.344545,0.941226,live_v2_curve_x_course_segments
Rotterdam,35,30.0,32.5,5.0,139977,139977,6.210513,5.773883,0.43663,0.929695,live_v2_curve_x_course_segments
Rotterdam,40,35.0,37.5,5.0,139977,139977,6.473444,5.92744,0.546004,0.915655,live_v2_curve_x_course_segments
Rotterdam,42,40.0,41.0975,2.195,139977,139977,6.189646,5.598613,0.591033,0.904513,live_v2_curve_x_course_segments
Madrid,05,0.0,2.5,5.0,103812,103812,6.055791,6.03388,0.021911,0.996382,live_v2_curve_x_course_segments
Madrid,10,5.0,7.5,5.0,103812,103812,5.23122,5.335257,-0.104037,1.019888,live_v2_curve_x_course_segments
Madrid,15,10.0,12.5,5.0,103812,103812,5.335304,5.326934,0.00837,0.998431,live_v2_curve_x_course_segments
Madrid,20,15.0,17.5,5.0,103812,103812,5.452283,5.377218,0.075065,0.986232,live_v2_curve_x_course_segments
Madrid,25,20.0,22.5,5.0,103812,103812,5.404331,5.258174,0.146157,0.972956,live_v2_curve_x_course_segments
Madrid,30,25.0,27.5,5.0,103812,103812,5.989161,5.570935,0.418226,0.930169,live_v2_curve_x_course_segments
Madrid,35,30.0,32.5,5.0,103812,103812,6.047032,5.683624,0.363408,0.939903,live_v2_curve_x_course_segments
Madrid,40,35.0,37.5,5.0,103812,103812,6.596289,5.976,0.620289,0.905964,live_v2_curve_x_course_segments
Madrid,42,40.0,41.0975,2.195,103812,103812,6.355226,5.681854,0.673372,0.894044,live_v2_curve_x_course_segments
Copenhagen,05,0.0,2.5,5.0,104194,104194,5.415943,5.527637,-0.111693,1.020623,live_v2_curve_x_course_segments
Copenhagen,10,5.0,7.5,5.0,104194,104194,5.416559,5.450566,-0.034007,1.006278,live_v2_curve_x_course_segments
Copenhagen,15,10.0,12.5,5.0,104194,104194,5.432164,5.384601,0.047563,0.991244,live_v2_curve_x_course_segments
Copenhagen,20,15.0,17.5,5.0,104194,104194,5.514316,5.388064,0.126252,0.977105,live_v2_curve_x_course_segments
Copenhagen,25,20.0,22.5,5.0,104194,104194,5.687525,5.409899,0.277626,0.951187,live_v2_curve_x_course_segments
Copenhagen,30,25.0,27.5,5.0,104194,104194,5.867713,5.536832,0.330881,0.94361,live_v2_curve_x_course_segments
Copenhagen,35,30.0,32.5,5.0,104194,104194,6.216234,5.768196,0.448038,0.927925,live_v2_curve_x_course_segments
Copenhagen,40,35.0,37.5,5.0,104194,104194,6.446338,5.912021,0.534317,0.917113,live_v2_curve_x_course_segments
Copenhagen,42,40.0,41.0975,2.195,104194,104194,6.158202,5.572559,0.585643,0.9049,live_v2_curve_x_course_segments
Valencia,05,0.0,2.5,5.0,70677,70677,4.955604,5.058619,-0.103015,1.020788,live_v2_curve_x_course_segments
Valencia,10,5.0,7.5,5.0,70677,70677,4.849155,4.868,-0.018845,1.003886,live_v2_curve_x_course_segments
Valencia,15,10.0,12.5,5.0,70677,70677,4.868491,4.819076,0.049414,0.98985,live_v2_curve_x_course_segments
Valencia,20,15.0,17.5,5.0,70677,70677,4.883768,4.794138,0.08963,0.981647,live_v2_curve_x_course_segments
Valencia,25,20.0,22.5,5.0,70677,70677,4.98312,4.737744,0.245376,0.950759,live_v2_curve_x_course_segments
Valencia,30,25.0,27.5,5.0,70677,70677,5.140926,4.817301,0.323625,0.937049,live_v2_curve_x_course_segments
Valencia,35,30.0,32.5,5.0,70677,70677,5.42055,5.026916,0.393634,0.927381,live_v2_curve_x_course_segments
Valencia,40,35.0,37.5,5.0,70677,70677,5.538961,5.078383,0.460578,0.916848,live_v2_curve_x_course_segments
Valencia,42,40.0,41.0975,2.195,70677,70677,5.208242,4.785402,0.42284,0.918813,live_v2_curve_x_course_segments
Barcelona,05,0.0,2.5,5.0,52756,52756,5.714399,5.815382,-0.100983,1.017672,live_v2_curve_x_course_segments
Barcelona,10,5.0,7.5,5.0,52756,52756,5.241531,5.301388,-0.059857,1.01142,live_v2_curve_x_course_segments
Barcelona,15,10.0,12.5,5.0,52756,52756,5.279345,5.194106,0.085239,0.983854,live_v2_curve_x_course_segments
Barcelona,20,15.0,17.5,5.0,52756,52756,5.287774,5.2004,0.087374,0.983476,live_v2_curve_x_course_segments
Barcelona,25,20.0,22.5,5.0,52756,52756,5.3743,5.148298,0.226002,0.957948,live_v2_curve_x_course_segments
Barcelona,30,25.0,27.5,5.0,52756,52756,5.647516,5.318752,0.328764,0.941786,live_v2_curve_x_course_segments
Barcelona,35,30.0,32.5,5.0,52756,52756,5.866444,5.446809,0.419635,0.928469,live_v2_curve_x_course_segments
Barcelona,40,35.0,37.5,5.0,52756,52756,6.128702,5.608533,0.520169,0.915126,live_v2_curve_x_course_segments
Barcelona,42,40.0,41.0975,2.195,52756,52756,5.410527,4.884823,0.525705,0.902837,live_v2_curve_x_course_segments
Gold Coast,05,0.0,2.5,5.0,31632,31632,5.447116,5.558557,-0.111441,1.020459,live_v2_curve_x_course_segments
