ability_band,sex,ability_lo_min,n,finish_p10_min,finish_p50_min,finish_p90_min,mean_positive_split,mean_split_ratio,htw_rate,mean_severity,severity_none_rate,severity_mild_rate,severity_moderate_rate,severity_severe_rate,pace_first_half_p10,pace_first_half_p25,pace_first_half_p50,pace_first_half_p75,pace_first_half_p90,base_pace_p10,base_pace_p25,base_pace_p50,base_pace_p75,base_pace_p90,recommended_first_half_lo,recommended_first_half_hi,recommended_base_pace_lo,recommended_base_pace_hi
a390,M,390,8619,392.1666564941406,402.1000061035156,416.8666687011719,0.2614564597606659,1.2614564895629883,0.6048265460030166,0.23228447139263153,0.15976331360946747,0.4864833507367444,0.2453880960668291,0.10836523958695904,7.707333087921143,8.111666679382324,8.5,8.869999885559082,9.204999923706055,7.897777557373047,8.318888664245605,8.725555419921875,9.102777481079102,9.44355583190918,8.111666679382324,8.869999885559082,8.318888664245605,9.102777481079102
a420,F,420,5120,422.09832763671875,431.6666564941406,446.1016845703125,0.19261285662651062,1.192612886428833,0.3873046875,0.16368317604064941,0.29765625,0.546484375,0.12265625,0.033203125,8.716333389282227,9.0600004196167,9.37833309173584,9.680000305175781,9.993415832519531,8.948888778686523,9.310833930969238,9.636666297912598,9.95805549621582,10.263333320617676,9.0600004196167,9.680000305175781,9.310833930969238,9.95805549621582
a420,M,420,2882,422.01666259765625,431.7749938964844,446.413330078125,0.265811949968338,1.2658119201660156,0.5582928521859819,0.23173747956752777,0.1839000693962526,0.48334489937543373,0.21547536433032616,0.11727966689798751,8.183333396911621,8.716041564941406,9.15333366394043,9.53166675567627,9.891666412353516,8.436888694763184,9.009166717529297,9.448888778686523,9.801944732666016,10.144222259521484,8.716041564941406,9.53166675567627,9.009166717529297,9.801944732666016
a450,F,450,1727,452.01666259765625,461.54998779296875,476.5566711425781,0.20226460695266724,1.202264666557312,0.40764331210191085,0.1705951690673828,0.29357266936884774,0.5222929936305732,0.1459177764910249,0.03821656050955414,9.253499984741211,9.610833168029785,9.977499961853027,10.34666633605957,10.704500198364258,9.515110969543457,9.921111106872559,10.288888931274414,10.654444694519043,11.031999588012695,9.610833168029785,10.34666633605957,9.921111106872559,10.654444694519043
a450,M,450,917,451.95001220703125,461.8166809082031,476.816650390625,0.2814103364944458,1.2814102172851562,0.5637949836423118,0.24192221462726593,0.20719738276990185,0.43838604143947657,0.2300981461286805,0.12431842966194111,8.67650032043457,9.232500076293945,9.72166633605957,10.1899995803833,10.691166877746582,9.000222206115723,9.60777759552002,10.039999961853027,10.520000457763672,10.941110610961914,9.232500076293945,10.1899995803833,9.60777759552002,10.520000457763672
a480,F,480,595,482.3666687011719,491.2833251953125,507.1199951171875,0.19032920897006989,1.1903291940689087,0.3831932773109244,0.15922777354717255,0.3865546218487395,0.426890756302521,0.13277310924369748,0.05378151260504202,9.816666603088379,10.283332824707031,10.764166831970215,11.15250015258789,11.450166702270508,10.133111000061035,10.635555267333984,11.088889122009277,11.487222671508789,11.857110977172852,10.283332824707031,11.15250015258789,10.635555267333984,11.487222671508789
a480,M,480,299,482.32000732421875,492.3666687011719,508.9700012207031,0.2515007555484772,1.2515007257461548,0.5451505016722408,0.21760278940200806,0.2709030100334448,0.4013377926421405,0.22742474916387959,0.10033444816053512,9.333000183105469,9.898750305175781,10.552499771118164,10.980416297912598,11.6676664352417,9.718667030334473,10.276111602783203,10.834444046020508,11.362777709960938,11.916888236999512,9.898750305175781,10.980416297912598,10.276111602783203,11.362777709960938
a510,F,510,208,511.29833984375,521.875,538.9417114257812,0.19260920584201813,1.192609190940857,0.38461538461538464,0.1616300493478775,0.36538461538461536,0.4375,0.15384615384615385,0.04326923076923077,10.390166282653809,10.86895751953125,11.402915954589844,11.895625114440918,12.363917350769043,10.73811149597168,11.25777816772461,11.738333702087402,12.292222023010254,12.822111129760742,10.86895751953125,11.895625114440918,11.25777816772461,12.292222023010254
a510,M,510,66,514.4000244140625,523.8250122070312,543.9083251953125,0.2450246810913086,1.245024561882019,0.3787878787878788,0.20869190990924835,0.2878787878787879,0.5,0.09090909090909091,0.12121212121212122,9.81833267211914,11.071041107177734,11.37125015258789,11.78979206085205,12.163749694824219,10.07722282409668,11.26361083984375,11.828888893127441,12.176667213439941,12.681111335754395,11.071041107177734,11.78979206085205,11.26361083984375,12.176667213439941
a540,F,540,49,542.6400146484375,549.7166748046875,568.28662109375,0.16215531527996063,1.162155270576477,0.30612244897959184,0.15972191095352173,0.32653061224489793,0.4489795918367347,0.14285714285714285,0.08163265306122448,10.845832824707031,11.65333366394043,12.145833015441895,12.484999656677246,13.295499801635742,11.185999870300293,12.008889198303223,12.334444046020508,12.764444351196289,13.5600004196167,11.65333366394043,12.484999656677246,12.008889198303223,12.764444351196289
a540,M,540,38,540.6799926757812,554.3583374023438,574.4249877929688,0.23604129254817963,1.2360414266586304,0.3684210526315789,0.2384529858827591,0.42105263157894735,0.39473684210526316,0.13157894736842105,0.05263157894736842,11.18316650390625,11.487083435058594,12.199999809265137,13.057499885559082,13.641416549682617,11.280333518981934,11.666666030883789,12.502222061157227,13.389444351196289,13.71066665649414,11.487083435058594,13.057499885559082,11.666666030883789,13.389444351196289
