city,label,opening,retention,n_opening,n_retention
New York,2009,5.708333333333333,11.431341720499798,42364,42364
New York,2010,5.736666666666666,12.203117435918642,43854,43854
New York,2011,5.751666666666667,12.579879496074486,45929,45929
New York,2013,5.800833333333333,11.370468611847917,48583,48583
New York,2014,5.876666666666667,12.882237177545441,42792,42792
New York,2015,5.9350000000000005,14.406065711878679,48685,48685
New York,2016,5.9625,12.550105300019855,50546,50546
New York,2017,5.945833333333334,12.208889320889128,49354,49354
New York,2018,5.925833333333333,13.33806311901239,51928,51928
New York,2019,5.905,12.118318502772485,52752,52752
New York,2021,5.92,12.412297486924363,24617,24617
New York,2022,6.100833333333333,17.333199356913177,46935,46935
New York,2023,5.956666666666666,13.144514183460466,50436,50436
New York,2024,5.854166666666667,9.390542974242667,55064,55064
New York,2025,5.8100000000000005,10.6327462491846,58339,58339
Oslo,2016,5.405833333333334,6.029549178485372,2384,2384
Oslo,2017,5.248333333333333,8.618708342909676,1975,1975
Oslo,2018,5.355416666666667,7.976615109193375,2204,2204
Oslo,2022,5.294583333333334,6.822171041607983,1788,1788
Oslo,2023,5.377916666666666,6.742873198536681,2490,2490
Oslo,2024,5.364583333333333,5.729670756999649,3958,3958
Oslo,2025,5.4375,6.309139023709697,4112,4112
Prague,2016,5.866249999999999,8.255192553556256,5732,5732
Prague,2017,5.92,5.608414871999412,6452,6452
Prague,2018,5.891666666666667,5.791054739652868,6921,6921
Prague,2019,5.9075,1.808103471030753,7227,7227
Rotterdam,2013,5.451666666666667,12.53968253968254,8281,8281
Rotterdam,2014,5.463333333333334,7.162357475509884,10601,10601
Rotterdam,2015,5.4366666666666665,7.358570177533641,11756,11756
Rotterdam,2016,5.453333333333333,8.597671097061678,12740,12740
Rotterdam,2017,5.5183333333333335,11.48800000000001,12693,12693
Rotterdam,2018,5.565833333333333,13.286347693733036,13790,13790
Rotterdam,2019,5.5600000000000005,12.265512265512267,14269,14269
Rotterdam,2021,5.47,6.064474990097657,10632,10632
Rotterdam,2022,5.408333333333333,7.562679819153306,11613,11613
Rotterdam,2023,5.4025,4.46405056623651,16543,16543
Rotterdam,2024,5.456666666666666,7.691172128727497,17005,17005
Stockholm,2011,5.474166666666666,5.506924694117332,9924,9924
Stockholm,2021,5.516249999999999,7.880838935418688,6952,6952
Stockholm,2024,6.025833333333334,12.806372549019617,16949,16949
Sydney,2017,5.55,11.828413675939697,3461,3461
Sydney,2018,5.572500000000001,10.047127153908132,3552,3552
Sydney,2019,5.58375,13.088144452843931,4332,4332
Valencia,2021,5.094166666666666,3.864841600874558,12410,12410
Valencia,2022,4.97,4.1125339253689885,21306,21306
Valencia,2023,4.925833333333333,3.4698558174353633,24578,24578
Valencia,2024,4.929166666666666,5.869632375656475,27515,27515
Warsaw,2015,5.423333333333333,6.2301335028607685,6883,6883
Warsaw,2016,5.309583333333334,5.076926157803929,6512,6512
Warsaw,2017,5.331666666666666,7.801213522103434,5467,5467
Warsaw,2018,5.388333333333334,8.927188640325689,4290,4290
Washington,2008,6.08,11.412850550230736,17385,17385
Washington,2009,6.1033333333333335,11.838790931989918,19593,19593
Washington,2010,6.098333333333333,13.86049734116359,20820,20820
Washington,2011,6.1625,10.474575166866861,19708,19708
Washington,2012,6.229166666666667,11.694545454545446,21771,21771
Washington,2013,6.286666666666666,9.092240117130302,19737,19737
Washington,2014,6.284166666666667,14.077936333699226,18995,18995
Washington,2015,6.3875,12.62284556493164,21776,21776
Washington,2016,6.429166666666666,16.65723865021801,18866,18866
Washington,2017,6.350833333333333,15.648445873526251,16195,16195
Washington,2018,6.4141666666666675,12.545707369142356,18994,18994
